epoch,train_loss,val_loss,val_acc,lr
1,1.7720598637887894,0.9581386646270752,0.7188,0.01
2,0.8995600965967205,0.8803286327362061,0.7304,0.01
3,0.7084070640241998,0.8059316902160645,0.7466,0.01
4,0.5993907882107629,0.7415344511032105,0.7774,0.01
5,0.5138775807330411,0.7712040477752685,0.7674,0.01
6,0.4486379498599941,0.7408563091278076,0.7836,0.01
7,0.39332553421669875,0.7778469284057618,0.772,0.01
8,0.3548409139838314,0.7596436445236207,0.7814,0.01
9,0.3169894841236946,0.7562570018768311,0.788,0.01
10,0.28975693032442673,0.7942359859466552,0.7736,0.001
11,0.1844868136097563,0.5933916467666626,0.8278,0.001
12,0.14714064540346802,0.5786199453353882,0.8284,0.001
13,0.13849731082590216,0.5755495342254638,0.8314,0.001
14,0.12499546859296638,0.5723360248565674,0.833,0.001
15,0.12021214270863438,0.5700177696228027,0.834,0.001
16,0.11632903086875918,0.5707616439819336,0.834,0.001
17,0.11459596246013953,0.5715100105285644,0.8328,0.001
18,0.1089406606775743,0.5706954183578491,0.8312,0.001
19,0.10982871163859327,0.5687765396118164,0.832,0.001
20,0.09971001343085216,0.5680245538711548,0.8334,0.0001
21,0.09803144459180173,0.569068692779541,0.8332,0.0001
22,0.09661047733747043,0.567188748550415,0.8328,0.0001
23,0.09483645869116498,0.5716673818588257,0.833,0.0001
24,0.09666593536267593,0.5681653692245483,0.8334,0.0001
25,0.09589187839092353,0.5670737028121948,0.8338,0.0001
26,0.09353850376487118,0.5682394512176514,0.833,0.0001
27,0.09318306436098879,0.5668594203948975,0.835,0.0001
28,0.09254774146652289,0.5676017871856689,0.833,0.0001
29,0.09260004103990362,0.5676740251541138,0.8338,0.0001
30,0.09191553639592948,0.5656220153808593,0.834,1e-05
31,0.09143407343544512,0.5677827800750732,0.835,1e-05
32,0.09317626635360922,0.5677672107696533,0.8344,1e-05
33,0.09317306125605548,0.5662358253479004,0.834,1e-05
34,0.094204011296275,0.5656956563949584,0.8332,1e-05
35,0.09344249550900569,0.5678162883758545,0.8328,1e-05
36,0.09347739705863671,0.565916209602356,0.8336,1e-05
37,0.09351120032688491,0.5654176183700561,0.8354,1e-05
38,0.09199314001958254,0.5700258501052856,0.8336,1e-05
39,0.09279551909987063,0.5655410373687744,0.834,1e-05
40,0.0951725091159004,0.5674356868743896,0.8334,1.0000000000000002e-06
41,0.09282056332441137,0.5657549287796021,0.8334,1.0000000000000002e-06
42,0.09131959596505532,0.5653650941848755,0.834,1.0000000000000002e-06
43,0.09134799813018565,0.5671877496719361,0.8324,1.0000000000000002e-06
44,0.09384394284242238,0.5677803676605224,0.8334,1.0000000000000002e-06
45,0.09052967540176846,0.5661100141525268,0.834,1.0000000000000002e-06
46,0.09303507020967638,0.5667677738189697,0.8354,1.0000000000000002e-06
47,0.09424802091004503,0.5674493705749512,0.8336,1.0000000000000002e-06
48,0.08931383720872409,0.5667163618087768,0.8336,1.0000000000000002e-06
49,0.09143179787211439,0.5688040494918823,0.8348,1.0000000000000002e-06
50,0.09362502553184487,0.5673495038986206,0.8352,1.0000000000000002e-07
51,0.09198967997844402,0.5657184436798096,0.8362,1.0000000000000002e-07
52,0.09249271187092843,0.5658965574264526,0.8334,1.0000000000000002e-07
53,0.09023739566278254,0.5665548141479492,0.835,1.0000000000000002e-07
54,0.0900771885823745,0.5683328718185425,0.8332,1.0000000000000002e-07
55,0.09339269808894209,0.5659988321304321,0.8358,1.0000000000000002e-07
56,0.08911236197796472,0.5673916625976563,0.8342,1.0000000000000002e-07
57,0.0933020248733185,0.5677794281005859,0.8334,1.0000000000000002e-07
58,0.09381301351889246,0.5658121940612792,0.8338,1.0000000000000002e-07
59,0.09358644686066188,0.5675412746429443,0.836,1.0000000000000002e-07
60,0.0928686650156805,0.5673051805496215,0.832,1.0000000000000004e-08
61,0.09344200406255376,0.5680507205963135,0.8316,1.0000000000000004e-08
62,0.0925744280452572,0.5663696329116821,0.834,1.0000000000000004e-08
63,0.09421578353201901,0.5672825191497802,0.8328,1.0000000000000004e-08
64,0.09319510900460587,0.566300119972229,0.8336,1.0000000000000004e-08
65,0.09058052456361955,0.5653329298019409,0.8332,1.0000000000000004e-08
66,0.09401871795710336,0.5674145568847656,0.835,1.0000000000000004e-08
67,0.09205571382685944,0.5655613653182984,0.8346,1.0000000000000004e-08
68,0.0948955384945428,0.5675691501617431,0.833,1.0000000000000004e-08
69,0.09313280065344949,0.5671621545791626,0.8326,1.0000000000000004e-08
70,0.09274462503288207,0.5670947099685669,0.8338,1.0000000000000005e-09
71,0.09371699837495459,0.567979596710205,0.8354,1.0000000000000005e-09
72,0.0918165417945283,0.566840641784668,0.8346,1.0000000000000005e-09
73,0.09145141870547564,0.5671092569351196,0.8334,1.0000000000000005e-09
74,0.09089839146963381,0.566989241027832,0.835,1.0000000000000005e-09
75,0.0952639098722286,0.5662275646209717,0.834,1.0000000000000005e-09
76,0.0909636726236751,0.5673651361465454,0.8338,1.0000000000000005e-09
77,0.0938913368187484,0.5661718915939331,0.8346,1.0000000000000005e-09
78,0.09132130847357617,0.5669607902526855,0.8344,1.0000000000000005e-09
79,0.09233098213913773,0.5661490562438964,0.8342,1.0000000000000005e-09
80,0.09471453689675555,0.5657261920928955,0.833,1.0000000000000006e-10
81,0.09374117424600145,0.5691549081802368,0.8342,1.0000000000000006e-10
82,0.09213707332321551,0.5669201776504517,0.834,1.0000000000000006e-10
83,0.09349898614541248,0.5676244382858276,0.8334,1.0000000000000006e-10
84,0.09464134864954866,0.566648711013794,0.8336,1.0000000000000006e-10
85,0.09234066105890817,0.5685920930862427,0.834,1.0000000000000006e-10
86,0.09053875111107133,0.5670187843322754,0.8332,1.0000000000000006e-10
87,0.09301395586922638,0.5670462392807006,0.8334,1.0000000000000006e-10
88,0.09248927785375519,0.5658168130874633,0.8338,1.0000000000000006e-10
89,0.0899066730612024,0.5678956472396851,0.8342,1.0000000000000006e-10
90,0.09194794630477911,0.5664343200683594,0.834,1.0000000000000006e-11
91,0.09259034297362692,0.5676090438842774,0.8328,1.0000000000000006e-11
92,0.0930827455621669,0.5681920436859131,0.8342,1.0000000000000006e-11
93,0.09299943945304281,0.5664822147369385,0.8332,1.0000000000000006e-11
94,0.09308085873447082,0.5669472778320312,0.8338,1.0000000000000006e-11
95,0.09191364433053892,0.566564875793457,0.8338,1.0000000000000006e-11
96,0.09239218719409742,0.5680146726608276,0.8338,1.0000000000000006e-11
97,0.09237521589651407,0.5667126432418823,0.8348,1.0000000000000006e-11
98,0.09067712631872576,0.5643602354049683,0.8342,1.0000000000000006e-11
99,0.09418930549524789,0.5662973833084106,0.835,1.0000000000000006e-11
100,0.09079085922988392,0.5663728097915649,0.8336,1.0000000000000006e-12
